customer_name,contact_name,lat,lng,tags
McClusky,McClusky,47.4858309,-100.4431839,ND
Martin,Martin,47.8266671,-100.1151307,ND
Dodge,Dodge,47.30612,-102.2043423,ND
Dunn Center,Dunn Center,47.3536235,-102.620462,ND
Halliday,Halliday,47.3544535,-102.3360118,ND
Killdeer,Killdeer,47.3719582,-102.7540751,ND
Finley,Finley,47.5141578,-97.8359252,ND
Hope,Hope,47.3222102,-97.7223196,ND
Luverne,Luverne,47.2510998,-97.9348215,ND
Hannaford,Hannaford,47.3133252,-98.1864847,ND
Buxton,Buxton,47.601924,-97.0973081,ND
Galesburg,Galesburg,47.2699845,-97.4064772,ND
Hatton,Hatton,47.6397087,-97.4534224,ND
Hillsboro,Hillsboro,47.4038683,-97.0620308,ND
Mayville,Mayville,47.4980408,-97.3245354,ND
Portland,Portland,47.4983191,-97.3703689,ND
Carrington,Carrington,47.4497201,-99.1262234,ND
Glenfield,Glenfield,47.4533296,-98.5673223,ND
Grace City,Grace City,47.5513859,-98.8053836,ND
McHenry,McHenry,47.576108,-98.5914904,ND
Golden Valley,Golden Valley,47.2908418,-102.0646172,ND
Hazen,Hazen,47.2944481,-101.622665,ND
Pick City,Pick City,47.5113887,-101.4537737,ND
Caribou,Caribou,46.8605982,-68.0119714,ME
Presque Isle,Presque Isle,46.681153,-68.0158616,ME
Medora,Medora,46.9139028,-103.5243536,ND
Golva,Golva,46.7341788,-103.9863168,ND
Dawson,Dawson,46.8685954,-99.751495,ND
Pettibone,Pettibone,47.1191585,-99.5195561,ND
Robinson,Robinson,47.1427682,-99.7812206,ND
Buchanan,Buchanan,47.0624924,-98.8289956,ND
Jamestown,Jamestown,46.9105438,-98.7084357,ND
Kensal,Kensal,47.3008296,-98.7334377,ND
Medina,Medina,46.8938758,-99.2998334,ND
Montpelier,Montpelier,46.7002601,-98.5900955,ND
Pingree,Pingree,47.163328,-98.9070537,ND
Lincoln,Lincoln,46.7624938,-100.7004025,ND
Regan,Regan,47.1580494,-100.528177,ND
Valley City,Valley City,46.9233129,-98.0031547,ND
Dazey,Dazey,47.1905449,-98.2017618,ND
Fingal,Fingal,46.7605329,-97.7903815,ND
Kathryn,Kathryn,46.6780313,-97.968712,ND
Leal,Leal,47.1052665,-98.3173158,ND
Litchville,Litchville,46.6535903,-98.1942616,ND
Nome,Nome,46.6777529,-97.8103807,ND
Oriska,Oriska,46.9305334,-97.7889918,ND
Pillsbury,Pillsbury,47.2069306,-97.7906569,ND
Alice,Alice,46.7619199,-97.5559299,ND
Amenia,Amenia,47.0049744,-97.2189763,ND
Argusville,Argusville,47.0521927,-96.9345275,ND
